Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0144605013	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0289210027	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.043381504	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0578420054	0	0	0	0	0	0	0	0	0	0	3
5	6	0	0.0723025067	0	0	0	0	0	0	0	0	0	0	3
6	7	0	0.0867630081	0	0	0	0	0	0	0	0	0	0	3
7	8	0	0.101223509	0	0	0	0	0	0	0	0	0	0	3
8	9	0	0.115684011	0	0	0	0	0	0	0	0	0	0	3
9	10	0	0.130144512	0	0	0	0	0	0	0	0	0	0	3
10	11	0	0.144605013	0	0	0	0	0	0	0	0	0	0	3
11	12	0	0.159065515	0	0	0	0	0	0	0	0	0	0	3
12	13	0	0.173526016	0	0	0	0	0	0	0	0	0	0	3
13	14	0	0.187986518	0	0	0	0	0	0	0	0	0	0	3
14	15	0	0.202447019	0	0	0	0	0	0	0	0	0	0	3
15	16	0	0.21690752	0	0	0	0	0	0	0	0	0	0	3
16	16	0	0.231368022	0	0	0	0	0	0	0	0	0	0	3
17	17	0	0.245828523	0	0	0	0	0	0	0	0	0	0	3
18	18	0	0.260289024	0	0	0	0	0	0	0	0	0	0	3
19	19	0	0.274749526	0	0	0	0	0	0	0	0	0	0	3
20	19	0	0.289210027	0	0	0	0	0	0	0	0	0	0	3
21	20	0	0.303670528	0	0	0	0	0	0	0	0	0	0	3
22	21	0	0.31813103	0	0	0	0	0	0	0	0	0	0	3
23	22	0	0.332591531	0	0	0	0	0	0	0	0	0	0	3
24	23	0	0.347052032	0	0	0	0	0	0	0	0	0	0	3
25	23	0	0.361512534	0	0	0	0	0	0	0	0	0	0	3
26	24	0	0.375973035	0	0	0	0	0	0	0	0	0	0	3
27	25	0	0.390433536	0	0	0	0	0	0	0	0	0	0	3
28	25	0	0.404894038	0	0	0	0	0	0	0	0	0	0	3
29	26	0	0.419354539	0	0	0	0	0	0	0	0	0	0	3
30	27	0	0.43381504	0	0	0	0	0	0	0	0	0	0	3
31	27	0	0.448275542	0	0	0	0	0	0	0	0	0	0	3
32	28	0	0.462736043	0	0	0	0	0	0	0	0	0	0	3
33	29	0	0.477196545	0	0	0	0	0	0	0	0	0	0	3
34	29	0	0.491657046	0	0	0	0	0	0	0	0	0	0	3
35	30	0	0.506117547	0	0	0	0	0	0	0	0	0	0	3
36	31	0	0.520578049	0	0	0	0	0	0	0	0	0	0	3
37	32	0	0.53503855	0	0	0	0	0	0	0	0	0	0	3
38	32	0	0.549499051	0	0	0	0	0	0	0	0	0	0	3
39	33	0	0.563959553	0	0	0	0	0	0	0	0	0	0	3
40	34	0	0.578420054	0	0	0	0	0	0	0	0	0	0	3
41	34	0	0.592880555	0	0	0	0	0	0	0	0	0	0	3
42	35	0	0.607341057	0	0	0	0	0	0	0	0	0	0	3
43	36	0	0.621801558	0	0	0	0	0	0	0	0	0	0	3
44	36	0	0.636262059	0	0	0	0	0	0	0	0	0	0	3
45	37	0	0.650722561	0	0	0	0	0	0	0	0	0	0	3
46	38	0	0.665183062	0	0	0	0	0	0	0	0	0	0	3
47	38	0	0.679643563	0	0	0	0	0	0	0	0	0	0	3
48	39	0	0.694104065	0	0	0	0	0	0	0	0	0	0	3
49	40	0	0.708564566	0	0	0	0	0	0	0	0	0	0	3
50	40	0	0.723025067	0	0	0	0	0	0	0	0	0	0	3
51	41	0	0.737485569	0	0	0	0	0	0	0	0	0	0	3
52	42	0	0.75194607	0	0	0	0	0	0	0	0	0	0	3
53	42	0	0.766406571	0	0	0	0	0	0	0	0	0	0	3
54	43	0	0.780867073	0	0	0	0	0	0	0	0	0	0	3
55	43	0	0.795327574	0	0	0	0	0	0	0	0	0	0	3
56	44	0	0.809788076	0	0	0	0	0	0	0	0	0	0	3
57	45	0	0.824248577	0	0	0	0	0	0	0	0	0	0	3
58	45	0	0.838709078	0	0	0	0	0	0	0	0	0	0	3
59	46	0	0.85316958	0	0	0	0	0	0	0	0	0	0	3
60	47	0	0.867630081	0	0	0	0	0	0	0	0	0	0	3
61	47	0	0.882090582	0	0	0	0	0	0	0	0	0	0	3
62	48	0	0.896551084	0	0	0	0	0	0	0	0	0	0	3
63	48	0	0.911011585	0	0	0	0	0	0	0	0	0	0	3
64	49	0	0.925472086	0	0	0	0	0	0	0	0	0	0	3
65	50	0	0.939932588	0	0	0	0	0	0	0	0	0	0	3
66	50	0	0.954393089	0	0	0	0	0	0	0	0	0	0	3
67	51	0	0.96885359	0	0	0	0	0	0	0	0	0	0	3
68	51	0	0.983314092	0	0	0	0	0	0	0	0	0	0	3
69	52	0	0.997774593	0	0	0	0	0	0	0	0	0	0	3
70	53	0	1.01223509	0	0	0	0	0	5e-06	0	100	0	0	3
71	53	0	1.0266956	0	0	0	0	0	5e-06	0	100	0	0	3
72	54	0	1.0411561	0	0	0	0	0	5e-06	0	100	0	0	3
73	55	0	1.0556166	0	0	0	0	0	5e-06	0	100	0	0	3
74	55	0	1.0700771	0	0	0	0	0	5e-06	0	100	0	0	3
75	56	0	1.0845376	0	0	0	0	0	5e-06	0	100	0	0	3
76	57	0	1.0989981	0	0	0	0	0	5e-06	0	100	0	0	3
