Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0144605013	102132.99	102132.99	102132.99	102132.99	0	0	0	0	0	0	3
2	4	0	0.0289210027	97240.0568	99686.5237	97240.0568	102132.99	2446.46682	0	0	0	0	0	3
3	5	0	0.043381504	92793.3085	97388.7853	92793.3085	102132.99	4744.2052	0	0	0	0	0	3
4	6	0	0.0578420054	100092.806	98064.7905	92793.3085	102132.99	4744.2052	0	0	0	0	0	3
5	6	0	0.0723025067	95600.1438	97571.8611	92793.3085	102132.99	4744.2052	0	0	0	0	0	3
6	7	0	0.0867630081	92149.952	96668.2096	92149.952	102132.99	5464.78085	0	0	0	0	0	3
7	8	0	0.101223509	91401.2315	95915.7842	91401.2315	102132.99	6217.2063	0	0	0	0	0	3
8	9	0	0.115684011	91306.0888	95339.5722	91306.0888	102132.99	6793.41823	0	0	0	0	0	3
9	10	0	0.130144512	92175.0429	94987.9579	91306.0888	102132.99	7145.0326	0	0	0	0	0	3
10	11	0	0.144605013	93091.6604	94798.3281	91306.0888	102132.99	7334.66235	0	0	0	0	0	3
11	12	0	0.159065515	94488.035	94770.1197	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
12	13	0	0.173526016	96735.4301	94933.8955	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
13	14	0	0.187986518	98881.1449	95237.5301	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
14	15	0	0.202447019	98759.3988	95489.0921	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
15	16	0	0.21690752	99699.1029	95769.7595	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
16	16	0	0.231368022	98613.3613	95947.4846	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
17	17	0	0.245828523	100208.283	96198.1199	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
18	18	0	0.260289024	100141.743	96417.21	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
19	19	0	0.274749526	100156.623	96614.0212	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
20	19	0	0.289210027	100206.887	96793.6645	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
21	20	0	0.303670528	100327.097	96961.9232	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
22	21	0	0.31813103	100434.584	97119.7714	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
23	22	0	0.332591531	100525.103	97267.8293	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
24	23	0	0.347052032	100720.597	97411.6946	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
25	23	0	0.361512534	100967.529	97553.928	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
26	24	0	0.375973035	101186.27	97693.6335	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
27	25	0	0.390433536	101477.91	97833.7918	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
28	25	0	0.404894038	101866.334	97977.8112	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
29	26	0	0.419354539	102055.259	98118.4128	91306.0888	102132.99	7362.87081	0	0	0	0	0	3
30	27	0	0.43381504	102170.089	98253.4687	91306.0888	102170.089	7362.87081	0	0	0	0	0	3
31	27	0	0.448275542	102054.883	98376.095	91306.0888	102170.089	7362.87081	0	0	0	0	0	3
32	28	0	0.462736043	101960.55	98488.1092	91306.0888	102170.089	7362.87081	0	0	0	0	0	3
33	29	0	0.477196545	101672.782	98584.6144	91306.0888	102170.089	7362.87081	0	0	0	0	0	3
34	29	0	0.491657046	101356.619	98666.144	91306.0888	102170.089	7362.87081	0	0	0	0	0	3
35	30	0	0.506117547	101193.404	98738.3514	91306.0888	102170.089	7362.87081	0	0	0	0	0	3
36	31	0	0.520578049	101158.816	98710.5179	91306.0888	102170.089	4916.40399	0	0	0	0	0	3
37	32	0	0.53503855	101134.773	98821.7955	91306.0888	102170.089	4051.6758	0	0	0	0	0	3
38	32	0	0.549499051	101131.351	99060.0253	91306.0888	102170.089	4289.90559	0	0	0	0	0	3
