Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0144605013	292.662108	292.662108	292.662108	292.662108	0	0	0	0	0	0	3
2	4	0	0.0289210027	292.90867	292.785389	292.662108	292.90867	0.123280815	0	0	0	0	0	3
3	5	0	0.043381504	292.978344	292.849707	292.662108	292.978344	0.187599122	0	0	0	0	0	3
4	6	0	0.0578420054	292.919958	292.86727	292.662108	292.978344	0.20516185	0	0	0	0	0	3
5	6	0	0.0723025067	292.315402	292.756896	292.315402	292.978344	0.20516185	0	0	0	0	0	3
6	7	0	0.0867630081	291.437522	292.537001	291.437522	292.978344	0.330269364	0	0	0	0	0	3
7	8	0	0.101223509	291.090774	292.330397	291.090774	292.978344	0.536873143	0	0	0	0	0	3
8	9	0	0.115684011	290.96118	292.159245	290.96118	292.978344	0.708025261	0	0	0	0	0	3
9	10	0	0.130144512	290.915443	292.021045	290.915443	292.978344	0.846225439	0	0	0	0	0	3
10	11	0	0.144605013	290.922352	291.911175	290.915443	292.978344	0.956094667	0	0	0	0	0	3
11	12	0	0.159065515	290.966691	291.825313	290.915443	292.978344	1.0419569	0	0	0	0	0	3
12	13	0	0.173526016	291.023564	291.758501	290.915443	292.978344	1.10876933	0	0	0	0	0	3
13	14	0	0.187986518	291.071536	291.705657	290.915443	292.978344	1.16161276	0	0	0	0	0	3
14	15	0	0.202447019	291.126969	291.664322	290.915443	292.978344	1.20294766	0	0	0	0	0	3
15	16	0	0.21690752	291.175138	291.63171	290.915443	292.978344	1.23555993	0	0	0	0	0	3
16	16	0	0.231368022	291.203915	291.604973	290.915443	292.978344	1.26229715	0	0	0	0	0	3
17	17	0	0.245828523	291.228093	291.582804	290.915443	292.978344	1.28446653	0	0	0	0	0	3
18	18	0	0.260289024	291.260201	291.564881	290.915443	292.978344	1.30238892	0	0	0	0	0	3
19	19	0	0.274749526	291.307691	291.551345	290.915443	292.978344	1.31592523	0	0	0	0	0	3
20	19	0	0.289210027	291.364688	291.542012	290.915443	292.978344	1.3252581	0	0	0	0	0	3
21	20	0	0.303670528	291.416085	291.536016	290.915443	292.978344	1.33125462	0	0	0	0	0	3
22	21	0	0.31813103	291.481707	291.533547	290.915443	292.978344	1.33372317	0	0	0	0	0	3
23	22	0	0.332591531	291.55717	291.534574	290.915443	292.978344	1.33372317	0	0	0	0	0	3
24	23	0	0.347052032	291.639543	291.538948	290.915443	292.978344	1.33372317	0	0	0	0	0	3
25	23	0	0.361512534	291.726348	291.546444	290.915443	292.978344	1.33372317	0	0	0	0	0	3
26	24	0	0.375973035	291.825557	291.557179	290.915443	292.978344	1.33372317	0	0	0	0	0	3
27	25	0	0.390433536	291.927925	291.57091	290.915443	292.978344	1.33372317	0	0	0	0	0	3
28	25	0	0.404894038	292.027478	291.587216	290.915443	292.978344	1.33372317	0	0	0	0	0	3
29	26	0	0.419354539	292.125265	291.60577	290.915443	292.978344	1.33372317	0	0	0	0	0	3
30	27	0	0.43381504	292.231165	291.626616	290.915443	292.978344	1.33372317	0	0	0	0	0	3
31	27	0	0.448275542	292.390408	291.651255	290.915443	292.978344	1.33372317	0	0	0	0	0	3
32	28	0	0.462736043	292.567837	291.679898	290.915443	292.978344	1.33372317	0	0	0	0	0	3
33	29	0	0.477196545	292.751423	291.712368	290.915443	292.978344	1.33372317	0	0	0	0	0	3
34	29	0	0.491657046	292.922821	291.74797	290.915443	292.978344	1.33372317	0	0	0	0	0	3
35	30	0	0.506117547	293.081215	291.786063	290.915443	293.081215	1.33372317	0	0	0	0	0	3
36	31	0	0.520578049	293.269365	291.803413	290.915443	293.269365	1.33372317	0	0	0	0	0	3
37	32	0	0.53503855	293.418159	291.81797	290.915443	293.418159	1.33372317	0	0	0	0	0	3
38	32	0	0.549499051	293.5303	291.83374	290.915443	293.5303	1.33372317	0	0	0	0	0	3
39	33	0	0.563959553	293.607717	291.85339	290.915443	293.607717	1.22334949	0	0	0	0	0	3
40	34	0	0.578420054	293.662024	291.891865	290.915443	293.662024	1.0034538	0	0	0	0	0	3
41	34	0	0.592880555	293.706333	291.956688	290.915443	293.706333	0.796850024	0	0	0	0	0	3
42	35	0	0.607341057	293.736489	292.03228	290.915443	293.736489	0.625697907	0	0	0	0	0	3
43	36	0	0.621801558	293.757308	292.112169	290.915443	293.757308	0.57862237	0	0	0	0	0	3
44	36	0	0.636262059	293.769835	292.193723	290.922352	293.769835	0.660176412	0	0	0	0	0	3
45	37	0	0.650722561	293.778126	292.275317	290.966691	293.778126	0.741769942	0	0	0	0	0	3
46	38	0	0.665183062	293.783399	292.355794	291.023564	293.783399	0.822247302	0	0	0	0	0	3
47	38	0	0.679643563	293.78749	292.434764	291.071536	293.78749	0.901216624	0	0	0	0	0	3
48	39	0	0.694104065	293.788896	292.512402	291.126969	293.788896	0.978855469	0	0	0	0	0	3
49	40	0	0.708564566	293.787921	292.58843	291.175138	293.788896	1.05488269	0	0	0	0	0	3
50	40	0	0.723025067	293.785502	292.663011	291.203915	293.788896	1.12946449	0	0	0	0	0	3
51	41	0	0.737485569	293.783137	292.736704	291.228093	293.788896	1.20315656	0	0	0	0	0	3
52	42	0	0.75194607	293.782109	292.809675	291.260201	293.788896	1.27612842	0	0	0	0	0	3
53	42	0	0.766406571	293.783317	292.881764	291.307691	293.788896	1.34821747	0	0	0	0	0	3
54	43	0	0.780867073	293.787202	292.952608	291.364688	293.788896	1.41906065	0	0	0	0	0	3
55	43	0	0.795327574	293.792871	293.021984	291.416085	293.792871	1.48843733	0	0	0	0	0	3
56	44	0	0.809788076	293.799119	293.090071	291.481707	293.799119	1.556524	0	0	0	0	0	3
57	45	0	0.824248577	293.804934	293.156449	291.55717	293.804934	1.62187481	0	0	0	0	0	3
58	45	0	0.838709078	293.809003	293.220787	291.639543	293.809003	1.68183918	0	0	0	0	0	3
59	46	0	0.85316958	293.810934	293.282827	291.726348	293.810934	1.73638291	0	0	0	0	0	3
60	47	0	0.867630081	293.810566	293.342376	291.825557	293.810934	1.78519687	0	0	0	0	0	3
61	47	0	0.882090582	293.808321	293.399026	291.927925	293.810934	1.82811596	0	0	0	0	0	3
62	48	0	0.896551084	293.804641	293.452647	292.027478	293.810934	1.78345544	0	0	0	0	0	3
63	48	0	0.911011585	293.800479	293.503304	292.125265	293.810934	1.68566885	0	0	0	0	0	3
64	49	0	0.925472086	293.796048	293.55104	292.231165	293.810934	1.57976865	0	0	0	0	0	3
65	50	0	0.939932588	293.791715	293.595628	292.390408	293.810934	1.42052599	0	0	0	0	0	3
66	50	0	0.954393089	293.787528	293.635545	292.567837	293.810934	1.24309706	0	0	0	0	0	3
67	51	0	0.96885359	293.783641	293.670283	292.751423	293.810934	1.05951048	0	0	0	0	0	3
