Iteration	CPUTime	PhysTime	Travels
1	4	0	0.0144605013
2	4	0	0.0289210027
3	5	0	0.043381504
4	6	0	0.0578420054
5	6	0	0.0723025067
6	7	0	0.0867630081
7	8	0	0.101223509
8	9	0	0.115684011
9	10	0	0.130144512
10	11	0	0.144605013
11	12	0	0.159065515
12	13	0	0.173526016
13	14	0	0.187986518
14	15	0	0.202447019
15	16	0	0.21690752
16	16	0	0.231368022
17	17	0	0.245828523
18	18	0	0.260289024
19	19	0	0.274749526
20	19	0	0.289210027
21	20	0	0.303670528
22	21	0	0.31813103
23	22	0	0.332591531
24	23	0	0.347052032
25	23	0	0.361512534
26	24	0	0.375973035
27	25	0	0.390433536
28	25	0	0.404894038
29	26	0	0.419354539
30	27	0	0.43381504
31	27	0	0.448275542
32	28	0	0.462736043
33	29	0	0.477196545
34	29	0	0.491657046
35	30	0	0.506117547
36	31	0	0.520578049
37	32	0	0.53503855
38	32	0	0.549499051
39	33	0	0.563959553
40	34	0	0.578420054
41	34	0	0.592880555
42	35	0	0.607341057
43	36	0	0.621801558
44	36	0	0.636262059
45	37	0	0.650722561
46	38	0	0.665183062
47	38	0	0.679643563
48	39	0	0.694104065
49	40	0	0.708564566
50	40	0	0.723025067
51	41	0	0.737485569
52	42	0	0.75194607
53	42	0	0.766406571
54	43	0	0.780867073
55	43	0	0.795327574
56	44	0	0.809788076
57	45	0	0.824248577
58	45	0	0.838709078
59	46	0	0.85316958
60	47	0	0.867630081
61	47	0	0.882090582
62	48	0	0.896551084
63	48	0	0.911011585
64	49	0	0.925472086
65	50	0	0.939932588
66	50	0	0.954393089
67	51	0	0.96885359
68	51	0	0.983314092
69	52	0	0.997774593
70	53	0	1.01223509
71	53	0	1.0266956
72	54	0	1.0411561
73	55	0	1.0556166
74	55	0	1.0700771
75	56	0	1.0845376
76	57	0	1.0989981
